,device_branch,device_province,device_name,device_ip,device_serial_number,start_ma_date,end_ma_date,start_license_date,end_license_date,end_sw_support_date,end_hw_support_date,start_used_date,user_created
878,HOMN,HOMN,10.100.176.245,10.100.176.245,FCQ1616X28B,None,None,None,None,None,2019-10-31,None,admin
879,HOMN,HOMN,10.100.176.72,10.100.176.72,FCW2127A2HR,None,None,None,None,None,2027-10-31,None,admin
880,HOMN,HOMN,10.100.176.73,10.100.176.73,FOC2451L7XG,None,2024-01-04,None,None,None,2027-10-31,None,admin
881,HOMN,HOMN,10.100.176.74,10.100.176.74,FCW2127B4EP,None,None,None,None,None,2027-10-31,None,admin
882,HOMN,HOMN,10.100.176.61,10.100.176.61,FOC2451L81K,None,2024-03-14,None,None,None,2027-10-31,None,admin
883,HOMN,HOMN,10.100.176.60,10.100.176.60,FOC1706Z3H4,None,None,None,None,None,2020-11-30,None,admin
884,HOMN,HOMN,10.100.176.56,10.100.176.56,JAE26271UK5,2023-04-15,2026-04-16,None,None,None,None,None,admin
885,HOMN,HOMN,10.100.176.57,10.100.176.57,JAE26271U35,2023-04-15,2026-04-16,None,None,None,None,None,admin
886,HOMN,HOMN,10.100.176.58,10.100.176.58,JAE26271TYJ,2023-04-15,2026-04-16,None,None,None,None,None,admin
887,HOMN,HOMN,10.100.176.124,10.100.176.124,JAE26271U48,2023-04-15,2026-04-16,None,None,None,None,None,admin
888,HOMN,HOMN,10.100.176.234,10.100.176.234,JAE26271URK,2023-04-15,2026-04-16,None,None,None,None,None,admin
889,HOMN,HOMN,10.100.176.235,10.100.176.235,FOC26313UXD,2023-04-15,2026-04-16,None,None,None,None,None,admin
890,HOMN,HOMN,10.100.175.61,10.100.175.61,FGL2603LQK7,2023-04-15,2026-04-16,None,None,None,None,None,admin
891,HOMN,HOMN,10.100.175.13,10.100.175.13,FGL2603LQGY,2023-04-15,2026-04-16,None,None,None,None,None,admin
892,HOMN,HOMN,10.100.175.20,10.100.175.20,FGL2603LQJU,2023-04-15,2026-04-16,None,None,None,None,None,admin
893,HOMN,HOMN,10.100.175.40,10.100.175.40,FGL2603LQG9,2023-04-15,2026-04-16,None,None,None,None,None,admin
894,HOMN,HOMN,10.100.175.37,10.100.175.37,FGL2603LQG4,2023-04-15,2026-04-16,None,None,None,None,None,admin
895,HOMN,HOMN,10.100.175.56,10.100.175.56,FGL2603LQK5,2023-04-15,2026-04-16,None,None,None,None,None,admin
896,HOMN,HOMN,10.100.175.35,10.100.175.35,FGL2603LQH7,2023-04-15,2026-04-16,None,None,None,None,None,admin
897,HOMN,HOMN,10.100.175.50,10.100.175.50,FGL2603LQKA,2023-04-15,2026-04-16,None,None,None,None,None,admin
898,HOMN,HOMN,10.100.175.27,10.100.175.27,FGL2603LQGR,2023-04-15,2026-04-16,None,None,None,None,None,admin
899,HOMN,HOMN,10.100.175.47,10.100.175.47,FGL2603LQJN,2023-04-15,2026-04-16,None,None,None,None,None,admin
900,HOMN,HOMN,10.100.175.44,10.100.175.44,FGL2603LQHW,2023-04-15,2026-04-16,None,None,None,None,None,admin
901,HOMN,HOMN,10.100.175.48,10.100.175.48,FGL2603LQK0,2023-04-15,2026-04-16,None,None,None,None,None,admin
902,HOMN,HOMN,10.100.175.57,10.100.175.57,FGL2603LQHC,2023-04-15,2026-04-16,None,None,None,None,None,admin
903,HOMN,HOMN,10.100.175.55,10.100.175.55,FGL2603LQKG,2023-04-15,2026-04-16,None,None,None,None,None,admin
904,HOMN,HOMN,10.100.175.51,10.100.175.51,FGL2603LQJW,2023-04-15,2026-04-16,None,None,None,None,None,admin
905,HOMN,HOMN,10.100.175.53,10.100.175.53,FGL2603LQJ0,2023-04-15,2026-04-16,None,None,None,None,None,admin
906,HOMN,HOMN,10.100.175.30,10.100.175.30,FGL2603LQHM,2023-04-15,2026-04-16,None,None,None,None,None,admin
907,HOMN,HOMN,10.100.175.41,10.100.175.41,FGL2603LQGC,2023-04-15,2026-04-16,None,None,None,None,None,admin
908,HOMN,HOMN,10.100.175.59,10.100.175.59,FGL2603LQGK,2023-04-15,2026-04-16,None,None,None,None,None,admin
909,HOMN,HOMN,10.100.175.54,10.100.175.54,FGL2603LQKM,2023-04-15,2026-04-16,None,None,None,None,None,admin
910,HOMN,HOMN,10.100.175.29,10.100.175.29,FGL2603LQJ5,2023-04-15,2026-04-16,None,None,None,None,None,admin
